Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price (£),Mapped_location,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,762,Arundel Gardens,1350000,Flat / Apartment,628,1,1,1,Notting Hill,London,W11 2LB
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,936,Stanley Crescent,3450000,Penthouse,1575,2,2,2,Notting Hill,London,W11 2NA
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,1199,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,2873,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,2920,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,2977,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,3037,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
78 Regent Street,Notting Hill,2,3,179,72,No,No,3,Semi-Detached,Electric Heating,High-level Balcony,Industrial,Garden,Marble,Renovated,2291200,Kensington and Chelsea,3141,Hereford Road,725000,Flat / Apartment,521,1,1,1,Notting Hill,London,W2 5AJ
