Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price,Mapped_location,Unnamed: 0,Property Name,price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
175 Bond Street,Kensington,3,1,140,40,1,1,3,Semi-Detached,Electric Heating,No Balcony,Classic,Garden,Marble,New,2128000,Kensington and Chelsea,3349,Kensington Church Street,3950000,New development,1924,3,3,3,Kensington,London,W8 7LP
39 Piccadilly Circus,Shoreditch,5,2,117,82,0,1,2,Apartment,Gas Heating,High-level Balcony,Modern,Park,Laminate Flooring,New,858000,Hackney,2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
41 King's Road,Marylebone,2,3,230,69,1,0,3,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Street,Granite,Old,2760000,Westminster,2384,Wimpole Street,2575000,Flat / Apartment,1374,3,3,3,Marylebone,London,W1G 8AE
73 Baker Street,Marylebone,2,3,147,72,1,0,2,Apartment,Electric Heating,High-level Balcony,Modern,Sea,Wood,Renovated,1470000,Westminster,742,Shillibeer Place,1750000,House,1224,3,3,3,Marylebone,London,W1H 4DR
90 Piccadilly Circus,Marylebone,2,2,140,89,0,1,2,Detached House,Electric Heating,Low-level Balcony,Modern,City,Wood,Old,2100000,Westminster,1286,Harley Place,1350000,Mews,993,2,2,2,Marylebone,London,W1G 8QE
23 Strand,Marylebone,4,3,140,32,0,0,1,Detached House,Central Heating,High-level Balcony,Industrial,City,Marble,New,2100000,Westminster,1285,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
41 King's Road,Notting Hill,4,2,73,90,0,1,1,Apartment,Gas Heating,Low-level Balcony,Industrial,Street,Wood,New,778666,Kensington and Chelsea,2873,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
2 Oxford Street,Islington,4,2,230,68,0,0,2,Semi-Detached,Gas Heating,No Balcony,Minimalist,Garden,Granite,Renovated,2208000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
28 Park Lane,Shoreditch,1,2,197,47,0,1,2,Semi-Detached,Gas Heating,No Balcony,Modern,Garden,Marble,Old,1733599,Hackney,1461,Quaker Street,799950,Penthouse,842,2,2,2,Shoreditch,London,E1 6SY
38 Bond Street,Westminster,3,3,141,70,1,0,1,Semi-Detached,Underfloor Heating,High-level Balcony,Classic,Street,Marble,New,2030400,Westminster,878,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
